 1 puckman           "PuckMan (Japan set 1)"
11 smashtv5          "Smash T.V. (rev 5.00)"
11 smashtv4          "Smash T.V. (rev 4.00)"
11 smashtv3          "Smash T.V. (rev 3.01)"
11 hiimpact          "High Impact Football (rev LA5 02/15/91)"
11 hiimpact4         "High Impact Football (rev LA4 02/04/91)"
11 hiimpact3         "High Impact Football (rev LA3 12/27/90)"
11 hiimpact2         "High Impact Football (rev LA2 12/26/90)"
11 hiimpact1         "High Impact Football (rev LA1 12/16/90)"
11 hiimpactp         "High Impact Football (prototype, rev 8.6 12/09/90)"
11 shimpact          "Super High Impact (rev LA1 09/30/91)"
11 shimpactp6        "Super High Impact (prototype, rev 6.0 09/23/91)"
11 shimpactp5        "Super High Impact (prototype, rev 5.0 09/15/91)"
11 shimpactp4        "Super High Impact (prototype, rev 4.0 09/10/91)"
11 strkforc          "Strike Force (rev 1 02/25/91)"
11 mk                "Mortal Kombat (rev 5.0 T-Unit 03/19/93)"
11 mkr4              "Mortal Kombat (rev 4.0 T-Unit 02/11/93)"
11 mktturbo          "Mortal Kombat (Turbo Ninja T-Unit 03/19/93, hack)"
11 mkyturbo          "Mortal Kombat (Turbo 3.1 09/09/93, hack)"
11 mkprot4           "Mortal Kombat (prototype, rev 4.0 07/14/92)"
11 mkprot8           "Mortal Kombat (prototype, rev 8.0 07/21/92)"
11 mkprot9           "Mortal Kombat (prototype, rev 9.0 07/28/92)"
11 mkla1             "Mortal Kombat (rev 1.0 08/09/92)"
11 mkla2             "Mortal Kombat (rev 2.0 08/18/92)"
11 mkla3             "Mortal Kombat (rev 3.0 08/31/92)"
11 mkla4             "Mortal Kombat (rev 4.0 09/28/92)"
11 mkyawdim          "Mortal Kombat (Yawdim bootleg)"
11 term2             "Terminator 2 - Judgment Day (rev LA4 08/03/92)"
11 term2la3          "Terminator 2 - Judgment Day (rev LA3 03/27/92)"
11 term2la2          "Terminator 2 - Judgment Day (rev LA2 12/09/91)"
11 term2la1          "Terminator 2 - Judgment Day (rev LA1 11/01/91)"
11 totcarn           "Total Carnage (rev LA1 03/10/92)"
11 totcarnp          "Total Carnage (prototype, rev 1.0 01/25/92)"
11 mk2               "Mortal Kombat II (rev L3.1)"
11 mk2r31e           "Mortal Kombat II (rev L3.1 (European))"
11 mk2r32            "Mortal Kombat II (rev L3.2 (European))"
11 mk2r30            "Mortal Kombat II (rev L3.0)"
11 mk2r21            "Mortal Kombat II (rev L2.1)"
11 mk2r14            "Mortal Kombat II (rev L1.4)"
11 mk2r11            "Mortal Kombat II (rev L1.1)"
11 mk2r42            "Mortal Kombat II (rev L4.2, hack)"
11 mk2r91            "Mortal Kombat II (rev L9.1, hack)"
11 mk2chal           "Mortal Kombat II Challenger (hack)"
11 jdreddp           "Judge Dredd (rev LA1, prototype)"
11 nbajam            "NBA Jam (rev 3.01 04/07/93)"
11 nbajamr2          "NBA Jam (rev 2.00 02/10/93)"
11 nbajamte          "NBA Jam TE (rev 4.0 03/23/94)"
11 nbajamt1          "NBA Jam TE (rev 1.0 01/17/94)"
11 nbajamt2          "NBA Jam TE (rev 2.0 01/28/94)"
11 nbajamt3          "NBA Jam TE (rev 3.0 03/04/94)"
11 revx              "Revolution X (Rev. 1.0 6/16/94)"
11 mk3               "Mortal Kombat 3 (rev 2.1)"
11 mk3r20            "Mortal Kombat 3 (rev 2.0)"
11 mk3r10            "Mortal Kombat 3 (rev 1.0)"
11 mk3p40            "Mortal Kombat 3 (rev 1 chip label p4.0)"
11 umk3              "Ultimate Mortal Kombat 3 (rev 1.2)"
11 umk3r11           "Ultimate Mortal Kombat 3 (rev 1.1)"
11 umk3r10           "Ultimate Mortal Kombat 3 (rev 1.0)"
11 wwfmania          "WWF: Wrestlemania (rev 1.30 08/10/95)"
11 wwfmaniab         "WWF: Wrestlemania (rev 1.20 08/02/95)"
11 openice           "2 On 2 Open Ice Challenge (rev 1.21)"
11 nbahangt          "NBA Hangtime (rev L1.1 04/16/96)"
11 nbamht            "NBA Maximum Hangtime (rev 1.03 06/09/97)"
11 nbamht1           "NBA Maximum Hangtime (rev 1.0 11/08/96)"
11 rmpgwt            "Rampage: World Tour (rev 1.3)"
11 rmpgwt11          "Rampage: World Tour (rev 1.1)"
11 crusnusa          "Cruis'n USA (rev L4.1)"
11 crusnusa40        "Cruis'n USA (rev L4.0)"
11 crusnusa21        "Cruis'n USA (rev L2.1)"
11 crusnwld          "Cruis'n World (rev L2.4)"
11 crusnwld23        "Cruis'n World (rev L2.3)"
11 crusnwld20        "Cruis'n World (rev L2.0)"
11 crusnwld17        "Cruis'n World (rev L1.7)"
11 crusnwld13        "Cruis'n World (rev L1.3)"
11 offroadc          "Off Road Challenge (v1.63)"
11 offroadc4         "Off Road Challenge (v1.40)"
11 offroadc3         "Off Road Challenge (v1.30)"
11 offroadc1         "Off Road Challenge (v1.10)"
11 wargods           "War Gods"
11 mk4               "Mortal Kombat 4 (version 3.0)"
11 mk4a              "Mortal Kombat 4 (version 2.1)"
11 mk4b              "Mortal Kombat 4 (version 1.0)"
11 invasnab          "Invasion - The Abductors (version 5.0)"
11 invasnv4          "Invasion - The Abductors (version 4.0)"
11 crusnexo          "Cruis'n Exotica (version 2.4)"
11 crusnexoa         "Cruis'n Exotica (version 2.0)"
11 crusnexob         "Cruis'n Exotica (version 1.6)"
11 thegrid           "The Grid (version 1.2)"
11 thegrida          "The Grid (version 1.1)"
11 wg3dh             "Wayne Gretzky's 3D Hockey"
11 mace              "Mace: The Dark Age (boot ROM 1.0ce, HDD 1.0b)"
11 macea             "Mace: The Dark Age (HDD 1.0a)"
11 sfrush            "San Francisco Rush"
11 sfrushrk          "San Francisco Rush: The Rock"
11 calspeed          "California Speed (Version 2.1a, 4/17/98)"
11 calspeeda         "California Speed (Version 1.0r7a 3/4/98)"
11 vaportrx          "Vapor TRX"
11 vaportrxp         "Vapor TRX (prototype)"
11 carnevil          "CarnEvil (v1.0.3)"
11 carnevil1         "CarnEvil (v1.0.1)"
11 biofreak          "BioFreaks (prototype)"
11 blitz             "NFL Blitz (boot ROM 1.2)"
11 blitz11           "NFL Blitz (boot ROM 1.1)"
11 blitz99           "NFL Blitz '99"
11 blitz2k           "NFL Blitz 2000 Gold Edition"
11 hyprdriv          "Hyperdrive"
12 gauntleg          "Gauntlet Legends (version 1.6)"
12 gauntleg12        "Gauntlet Legends (version 1.2)"
12 tenthdeg          "Tenth Degree (prototype)"
12 roadburn          "Road Burners"
12 sf2049            "San Francisco Rush 2049"
12 sf2049se          "San Francisco Rush 2049: Special Edition"
12 sf2049te          "San Francisco Rush 2049: Tournament Edition"
12 warfa             "War: The Final Assault"
12 nbashowt          "NBA Showtime: NBA on NBC"
12 nbanfl            "NBA Showtime / NFL Blitz 2000"
12 gauntdl           "Gauntlet Dark Legacy (version DL 2.52)"
12 gauntdl24         "Gauntlet Dark Legacy (version DL 2.4)"
12 cartfury          "Cart Fury"
12 hydrthnd          "Hydro Thunder"
12 offrthnd          "Offroad Thunder"
12 tm                "Touchmaster (v3.00 Euro)"
12 tmdo              "Touchmaster (v2.2-01 Standard)"
12 tm2k              "Touchmaster 2000 Plus (v4.63 Standard)"
12 tm2ka             "Touchmaster 2000 (v4.02 Standard)"
12 tm2kb             "Touchmaster 2000 (v4.00 Standard)"
12 tm3k              "Touchmaster 3000 (v5.02 Standard)"
12 tm3ka             "Touchmaster 3000 (v5.01 Standard)"
12 tm4k              "Touchmaster 4000 (v6.03 Standard)"
12 tm4ka             "Touchmaster 4000 (v6.02 Standard)"
12 tm4kb             "Touchmaster 4000 (v6.01 Standard)"
12 tm5k              "Touchmaster 5000 (v7.10 Standard)"
12 tm5kca            "Touchmaster 5000 (v7.10 California)"
12 tm5ka             "Touchmaster 5000 (v7.01 Standard)"
12 tm7k              "Touchmaster 7000 (v8.04 Standard)"
12 tm7ka             "Touchmaster 7000 (v8.00 Standard)"
12 tm7keval          "Touchmaster 7000 (v8.1X Evaluation)"
12 tm8k              "Touchmaster 8000 (v9.04 Standard)"
12 tm8k902           "Touchmaster 8000 (v9.02 Standard)"
12 galgbios          "Galaxy Games (BIOS v1.90)"
12 galgame2          "Galaxy Games StarPak 2"
12 embargo           "Embargo"
12 tripool           "Tri-Pool (Casino Tech)"
12 tripoola          "Tri-Pool (Costal Games)"
12 unclepoo          "Uncle Poo"
12 joinem            "Joinem"
12 loverboy          "Lover Boy"
12 striv             "Super Triv"
12 jack              "Jack the Giantkiller (set 1)"
12 jack2             "Jack the Giantkiller (set 2)"
12 jack3             "Jack the Giantkiller (set 3)"
12 treahunt          "Treasure Hunt (bootleg?)"
12 zzyzzyxx          "Zzyzzyxx (set 1)"
12 zzyzzyxx2         "Zzyzzyxx (set 2)"
12 brix              "Brix"
12 freeze            "Freeze"
12 sucasino          "Super Casino"
12 spacewar          "Space Wars"
12 spaceshp          "Space Ship"
12 barrier           "Barrier"
12 starcas           "Star Castle (version 3)"
12 starcas1          "Star Castle (older)"
12 starcasp          "Star Castle (prototype)"
12 starcase          "Star Castle (Mottoeis)"
12 stellcas          "Stellar Castle (Elettronolo)"
12 spaceftr          "Space Fortress (Zaccaria)"
12 tailg             "Tailgunner"
12 ripoff            "Rip Off"
12 armora            "Armor Attack"
12 armorap           "Armor Attack (prototype)"
12 armorar           "Armor Attack (Rock-Ola)"
12 wotw              "War of the Worlds"
12 wotwc             "War of the Worlds (color)"
12 warrior           "Warrior"
12 starhawk          "Star Hawk"
12 solarq            "Solar Quest"
12 boxingb           "Boxing Bugs"
12 speedfrk          "Speed Freak"
12 sundance          "Sundance"
12 demon             "Demon"
12 qb3               "QB-3 (prototype)"
12 cchasm            "Cosmic Chasm (set 1)"
12 cchasm1           "Cosmic Chasm (set 2)"
12 roundup           "Round-Up"
12 fitter            "Fitter"
12 fitterbl          "Fitter (bootleg)"
12 thepit            "The Pit"
12 thepitu1          "The Pit (US, set 1)"
12 thepitu2          "The Pit (US, set 2)"
12 thepitj           "The Pit (Japan)"
12 thepitm           "The Pit (bootleg on Moon Quasar hardware)"
12 dockman           "Dock Man"
12 portman           "Port Man"
12 suprmous          "Super Mouse"
12 funnymou          "Funny Mouse"
12 machomou          "Macho Mouse"
12 intrepid          "Intrepid (set 1)"
12 intrepid2         "Intrepid (set 2)"
12 zaryavos          "Zarya Vostoka"
12 timelimt          "Time Limit"
12 progress          "Progress"
12 koroleva          "Snezhnaja Koroleva"
12 rtriv             "Romar Triv"
12 konek             "Konek-Gorbunok"
12 sosterm           "S.O.S."
12 bilyard           "Billiard"
12 phtetris          "Tetris (Photon System)"
12 phpython          "Python (Photon System)"
12 phklad            "Klad / Labyrinth (Photon System)"
12 kok               "Povar / Sobrat' Buran / Agroprom (Arcade multi-game bootleg of ZX Spectrum 'Cookie', 'Jetpac' & 'Pssst')"
12 black             "Czernyj Korabl (Arcade bootleg of ZX Spectrum 'Blackbeard')"
12 brod              "Brodjaga (Arcade bootleg of ZX Spectrum 'Inspector Gadget and the Circus of Fear')"
12 bagman            "Bagman"
12 bagnard           "Le Bagnard (set 1)"
12 bagnarda          "Le Bagnard (set 2)"
12 bagmans           "Bagman (Stern Electronics, set 1)"
12 bagmans2          "Bagman (Stern Electronics, set 2)"
12 pickin            "Pickin'"
12 supdrapo          "Super Draw Poker (set 1)"
12 supdrapoa         "Super Draw Poker (set 2)"
12 supdrapob         "Super Draw Poker (bootleg)"
12 sbagman           "Super Bagman"
12 sbagmans          "Super Bagman (Stern Electronics)"
12 botanic           "Botanic"
12 squaitsa          "Squash (Itisa)"
12 tankbust          "Tank Busters"
12 stinger           "Stinger"
12 stinger2          "Stinger (prototype?)"
12 scion             "Scion"
12 scionc            "Scion (Cinematronics)"
12 kungfut           "Kung-Fu Taikun"
12 kungfuta          "Kung-Fu Taikun (alt)"
12 wiz               "Wiz"
12 wizt              "Wiz (Taito, set 1)"
12 wizta             "Wiz (Taito, set 2)"
12 kncljoe           "Knuckle Joe (set 1)"
12 kncljoea          "Knuckle Joe (set 2)"
12 bcrusher          "Bone Crusher"
12 empcity           "Empire City: 1931 (bootleg?)"
12 empcityu          "Empire City: 1931 (US)"
12 empcityj          "Empire City: 1931 (Japan)"
12 empcityi          "Empire City: 1931 (Italy)"
12 stfight           "Street Fight (Germany)"
12 stfighta          "Street Fight (bootleg?)"
12 darkmist          "The Lost Castle In Darkmist"
12 mustache          "Mustache Boy"
12 cshooter          "Cross Shooter (not encrypted)"
12 cshootere         "Cross Shooter (encrypted)"
12 airraid           "Air Raid (encrypted)"
12 panicr            "Panic Road"
12 deadang           "Dead Angle"
12 leadang           "Lead Angle (Japan)"
12 ghunter           "Gang Hunter (Spain)"
12 dynduke           "Dynamite Duke (Japan)"
12 dyndukef          "Dynamite Duke (US)"
12 dbldyn            "The Double Dynamites (Japan)"
12 dbldynf           "The Double Dynamites (US)"
12 raiden            "Raiden"
12 raidena           "Raiden (Alternate Hardware)"
12 raidenk           "Raiden (Korea)"
12 raident           "Raiden (Taiwan)"
12 raidenu           "Raiden (US, set 1, SEI8904 + SEI9008 PCBs)"
12 raidenua          "Raiden (US, set 2)"
12 sdgndmps          "SD Gundam Psycho Salamander no Kyoui"
12 dcon              "D-Con"
12 sengokmj          "Sengoku Mahjong [BET] (Japan)"
12 totmejan          "Tottemo E Jong"
12 goodejan          "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 1)"
12 goodejana         "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 2)"
12 raiden2           "Raiden II (set 1, US Fabtek)"
12 raiden2a          "Raiden II (set 2, Metrotainment)"
12 raiden2b          "Raiden II (set 3, Japan)"
12 raiden2c          "Raiden II (set 4, Italy)"
12 raiden2d          "Raiden II (set 5, Easy Version)"
12 raiden2e          "Raiden II (set 6)"
12 raiden2f          "Raiden II (set 7, US Fabtek)"
12 raidndx           "Raiden DX (UK)"
12 raidndxj          "Raiden DX (Japan)"
12 raidndxu          "Raiden DX (US)"
12 raidndxa1         "Raiden DX (Asia set 1)"
12 raidndxa2         "Raiden DX (Asia set 2)"
12 raidndxg          "Raiden DX (Germany)"
12 zeroteam          "Zero Team (set 1)"
12 zeroteama         "Zero Team (set 2)"
12 zeroteamb         "Zero Team (set 3)"
12 zeroteamc         "Zero Team (set 4)"
12 zeroteams         "Zero Team Selection"
12 zeroteamsr        "Zero Team Suicide Revival Kit"
12 xsedae            "X Se Dae Quiz"
12 r2dx_v33          "Raiden II / DX (newer V33 PCB)"
12 nzerotea          "New Zero Team"
12 senkyu            "Senkyu (Japan, set 1)"
12 senkyua           "Senkyu (Japan, set 2)"
12 batlball          "Battle Balls (Germany)"
12 batlballa         "Battle Balls (Asia)"
12 batlballu         "Battle Balls (US)"
12 viprp1            "Viper Phase 1 (World, New Version)"
12 viprp1u           "Viper Phase 1 (USA, New Version)"
12 viprp1j           "Viper Phase 1 (Japan, New Version)"
12 viprp1s           "Viper Phase 1 (Switzerland, New Version)"
12 viprp1oj          "Viper Phase 1 (Japan)"
12 viprp1ot          "Viper Phase 1 (Germany)"
12 viprp1hk          "Viper Phase 1 (Hong Kong)"
12 ejanhs            "E-Jan High School (Japan)"
12 rdft              "Raiden Fighters (Japan set 1)"
12 rdftu             "Raiden Fighters (US)"
12 rdftau            "Raiden Fighters (Australia)"
12 rdftj             "Raiden Fighters (Japan set 2)"
12 rdftadi           "Raiden Fighters (Asia, Dream Island Co., LTD. license, SPI)"
12 rdftam            "Raiden Fighters (Asia, Metrotainment Network license, SPI)"
12 rdftit            "Raiden Fighters (Italy)"
12 rdfta             "Raiden Fighters (Austria)"
12 rdft2             "Raiden Fighters 2"
12 rdft2a            "Raiden Fighters 2 (Asia, Metrotainment Network license, SPI)"
12 rdft2a2           "Raiden Fighters 2 (Asia, Dream Island Co., LTD. license, SPI)"
12 rdft2j            "Raiden Fighters 2 (Japan, SPI)"
12 rdft2j2           "Raiden Fighters 2 (Japan set 2, SPI)"
12 rdft2t            "Raiden Fighters 2 (Taiwan, SPI)"
12 rdft2u            "Raiden Fighters 2 (USA, SPI)"
12 rdft2us           "Raiden Fighters 2.1 (US, Single Board)"
12 rdft22kc          "Raiden Fighters 2 - 2000 (China)"
12 rfjet             "Raiden Fighters Jet"
12 rfjetu            "Raiden Fighters Jet (US)"
12 rfjeta            "Raiden Fighters Jet (Asia)"
12 rfjetj            "Raiden Fighters Jet (Japan)"
12 rfjets            "Raiden Fighters Jet (Single Board)"
12 rfjet2kc          "Raiden Fighters Jet - 2000 (China)"
12 ejsakura          "E-Jan Sakurasou (v2.0)"
12 ejsakura12        "E-Jan Sakurasou (v1.2)"
12 feversoc          "Fever Soccer"
12 cabal             "Cabal (World, Joystick version)"
12 cabala            "Cabal (Alpha Trading)"
12 cabalbl           "Cabal (bootleg of Joystick version, set 1, alternate sound hardware)"
12 cabalbl2          "Cabal (bootleg of Joystick version, set 2)"
12 cabalus           "Cabal (US set 1, Trackball version)"
12 cabalus2          "Cabal (US set 2, Trackball version)"
12 toki              "Toki (World, set 1)"
12 tokia             "Toki (World, set 2)"
12 tokiu             "Toki (US, set 1)"
12 tokiua            "Toki (US, set 2)"
12 tokib             "Toki (Datsu bootleg)"
12 juju              "JuJu Densetsu (Japan)"
12 jujub             "JuJu Densetsu (Japan, bootleg)"
12 bloodbro          "Blood Bros. (set 1)"
12 bloodbroa         "Blood Bros. (set 2)"
12 bloodbrob         "Blood Bros. (set 3)"
12 weststry          "West Story (bootleg of Blood Bros.)"
12 skysmash          "Sky Smasher"
12 legionna          "Legionnaire (World)"
12 legionnau         "Legionnaire (US)"
12 heatbrl           "Heated Barrel (World version 3)"
12 heatbrl2          "Heated Barrel (World version 2)"
12 heatbrlo          "Heated Barrel (World old version)"
12 heatbrlu          "Heated Barrel (US)"
12 godzilla          "Godzilla"
12 denjinmk          "Denjin Makai"
12 grainbow          "SD Gundam Sangokushi Rainbow Tairiku Senki"
12 cupsoc            "Seibu Cup Soccer (set 1)"
12 cupsoca           "Seibu Cup Soccer (set 2)"
12 cupsocs           "Seibu Cup Soccer :Selection: (set 1)"
12 cupsocs2          "Seibu Cup Soccer :Selection: (set 2)"
12 cupsocsb          "Seibu Cup Soccer :Selection: (bootleg, set 1)"
12 cupsocsb2         "Seibu Cup Soccer :Selection: (bootleg, set 2)"
12 olysoc92          "Olympic Soccer '92"
12 goal92            "Goal! '92"
12 exerion           "Exerion"
12 exeriont          "Exerion (Taito)"
12 exerionb          "Exerion (bootleg)"
12 fcombat           "Field Combat"
12 pturn             "Parallel Turn"
12 ddayjlc           "D-Day (Jaleco set 1)"
12 ddayjlca          "D-Day (Jaleco set 2)"
12 formatz           "Formation Z"
12 aeroboto          "Aeroboto"
12 citycon           "City Connection (set 1)"
12 citycona          "City Connection (set 2)"
12 cruisin           "Cruisin"
12 momoko            "Momoko 120%"
12 argus             "Argus"
12 valtric           "Valtric"
12 butasan           "Butasan (Japan)"
12 psychic5          "Psychic 5 (set 1)"
12 psychic5a         "Psychic 5 (set 2)"
12 bombsa            "Bombs Away"
12 ginganin          "Ginga NinkyouDen (set 1)"
12 ginganina         "Ginga NinkyouDen (set 2)"
12 skyfox            "Sky Fox"
12 exerizer          "Exerizer (Japan)"
12 exerizerb         "Exerizer (Japan) (bootleg)"
12 homerun           "Moero Pro Yakyuu Homerun"
12 dynashot          "Dynamic Shooting"
12 bigrun            "Big Run (11th Rallye version)"
12 cischeat          "Cisco Heat"
12 f1gpstar          "Grand Prix Star"
12 armchmp2          "Arm Champs II v2.6"
12 armchmp2o         "Arm Champs II v1.7"
12 wildplt           "Wild Pilot"
12 f1gpstr2          "F-1 Grand Prix Star II"
12 scudhamm          "Scud Hammer"
12 tetrisp2          "Tetris Plus 2 (World)"
12 tetrisp2j         "Tetris Plus 2 (Japan, V2.2)"
12 tetrisp2ja        "Tetris Plus 2 (Japan, V2.1)"
12 nndmseal          "Nandemo Seal Iinkai"
12 stepstag          "Stepping Stage Special"
12 step3             "Stepping 3 Superior"
12 rockn             "Rock'n Tread (Japan)"
12 rockna            "Rock'n Tread (Japan, alternate)"
12 rockn2            "Rock'n Tread 2 (Japan)"
12 rocknms           "Rock'n MegaSession (Japan)"
12 rockn3            "Rock'n 3 (Japan)"
12 rockn4            "Rock'n 4 (Japan, prototype)"
12 lomakai           "Legend of Makai (World)"
12 makaiden          "Makai Densetsu (Japan)"
12 p47               "P-47 - The Phantom Fighter (World)"
12 p47j              "P-47 - The Freedom Fighter (Japan)"
12 kickoff           "Kick Off (Japan)"
12 tshingen          "Shingen Samurai-Fighter (Japan, English)"
12 tshingena         "Takeda Shingen (Japan, Japanese)"
12 kazan             "Ninja Kazan (World)"
12 iganinju          "Iga Ninjyutsuden (Japan)"
12 astyanax          "The Astyanax"
12 lordofk           "The Lord of King (Japan)"
12 hachoo            "Hachoo!"
12 jitsupro          "Jitsuryoku!! Pro Yakyuu (Japan)"
12 plusalph          "Plus Alpha"
12 stdragon          "Saint Dragon"
12 rodland           "Rod-Land (World)"
12 rodlandj          "Rod-Land (Japan)"
12 rodlandjb         "Rod-Land (Japan bootleg)"
12 avspirit          "Avenging Spirit"
12 phantasm          "Phantasm (Japan)"
12 monkelf           "Monky Elf (Korean bootleg of Avenging Spirit)"
12 edf               "E.D.F. : Earth Defense Force"
12 edfu              "E.D.F. : Earth Defense Force (North America)"
12 edfbl             "E.D.F. : Earth Defense Force (bootleg)"
12 64street          "64th. Street - A Detective Story (World)"
12 64streetj         "64th. Street - A Detective Story (Japan)"
12 soldam            "Soldam"
12 soldamj           "Soldam (Japan)"
12 bigstrik          "Big Striker"
12 bigstrkb          "Big Striker (bootleg)"
12 bestleag          "Best League (bootleg of Big Striker, Italian Serie A)"
12 bestleaw          "Best League (bootleg of Big Striker, World Cup)"
12 chimerab          "Chimera Beast (prototype)"
12 cybattlr          "Cybattler"
12 hayaosi1          "Hayaoshi Quiz Ouza Ketteisen - The King Of Quiz"
12 peekaboo          "Peek-a-Boo!"
12 hayaosi2          "Hayaoshi Quiz Grand Champion Taikai"
12 hayaosi3          "Hayaoshi Quiz Nettou Namahousou"
12 bbbxing           "Best Bout Boxing"
12 47pie2            "Idol Janshi Su-Chi-Pie 2 (v1.1)"
12 47pie2o           "Idol Janshi Su-Chi-Pie 2 (v1.0)"
12 desertwr          "Desert War / Wangan Sensou"
12 gametngk          "The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise"
12 tetrisp           "Tetris Plus"
12 p47aces           "P-47 Aces"
12 akiss             "Mahjong Angel Kiss"
12 gratia            "Gratia - Second Earth (92047-01 version)"
12 gratiaa           "Gratia - Second Earth (91022-10 version)"
12 kirarast          "Ryuusei Janshi Kirara Star"
12 tp2m32            "Tetris Plus 2 (MegaSystem 32 Version)"
12 bnstars           "Vs. Janshi Brandnew Stars (MegaSystem32 Version)"
12 wpksocv2          "World PK Soccer V2 (ver 1.1)"
12 f1superb          "F1 Super Battle"
12 bnstars1          "Vs. Janshi Brandnew Stars"
12 rabiolep          "Rabio Lepus (Japan)"
12 rpunch            "Rabbit Punch (US)"
12 svolley           "Super Volleyball (Japan)"
12 svolleyk          "Super Volleyball (Korea)"
12 svolleyu          "Super Volleyball (US)"
12 tail2nos          "Tail to Nose - Great Championship"
12 sformula          "Super Formula (Japan)"
12 ojankoc           "Ojanko Club (Japan)"
12 ojankoy           "Ojanko Yakata (Japan)"
12 ojanko2           "Ojanko Yakata 2bankan (Japan)"
12 ccasino           "Chinese Casino [BET] (Japan)"
12 ojankohs          "Ojanko High School (Japan)"
12 nekkyoku          "Rettou Juudan Nekkyoku Janshi - Higashi Nippon Hen (Japan)"
12 idolmj            "Idol-Mahjong Housoukyoku (Japan)"
12 mjnatsu           "Mahjong Natsu Monogatari (Japan)"
12 natsuiro          "Natsuiro Mahjong (Japan)"
12 mfunclub          "Mahjong Fun Club - Idol Saizensen (Japan)"
12 daiyogen          "Mahjong Daiyogen (Japan)"
12 nmsengen          "Nekketsu Mahjong Sengen! AFTER 5 (Japan)"
12 fromance          "Idol-Mahjong Final Romance (Japan)"
12 pipedrm           "Pipe Dream (World)"
12 pipedrmu          "Pipe Dream (US)"
12 pipedrmj          "Pipe Dream (Japan)"
12 hatris            "Hatris (US)"
12 hatrisj           "Hatris (Japan)"
12 spinlbrk          "Spinal Breakers (World)"
12 spinlbrku         "Spinal Breakers (US)"
12 spinlbrkj         "Spinal Breakers (Japan)"
12 pspikes           "Power Spikes (World)"
12 pspikesk          "Power Spikes (Korea)"
12 svolly91          "Super Volley '91 (Japan)"
12 pspikesb          "Power Spikes (bootleg)"
12 spikes91          "1991 Spikes (Italian bootleg)"
12 pspikesc          "Power Spikes (China)"
12 karatblz          "Karate Blazers (World)"
12 karatblzu         "Karate Blazers (US)"
12 karatblzj         "Karate Blazers (Japan)"
12 turbofrc          "Turbo Force (old revision)"
12 aerofgt           "Aero Fighters"
12 aerofgtb          "Aero Fighters (Turbo Force hardware set 1)"
12 aerofgtc          "Aero Fighters (Turbo Force hardware set 2)"
12 sonicwi           "Sonic Wings (Japan)"
12 aerfboot          "Aero Fighters (bootleg set 1)"
12 aerfboo2          "Aero Fighters (bootleg set 2)"
12 wbbc97            "Beach Festival World Championship 1997"
12 welltris          "Welltris (World?, 2 players)"
12 welltrisj         "Welltris (Japan, 2 players)"
12 quiz18k           "Miyasu Nonki no Quiz 18-Kin"
12 f1gp              "F-1 Grand Prix"
12 f1gpb             "F-1 Grand Prix (Playmark bootleg)"
12 f1gp2             "F-1 Grand Prix Part II"
12 crshrace          "Lethal Crash Race (set 1)"
12 crshrace2         "Lethal Crash Race (set 2)"
12 taotaido          "Tao Taido (set 1)"
12 taotaidoa         "Tao Taido (set 2)"
12 gstriker          "Grand Striker"
12 gstrikera         "Grand Striker (Americas)"
12 vgoalsoc          "V Goal Soccer (set 1)"
12 vgoalsca          "V Goal Soccer (set 2)"
12 twrldc94          "Tecmo World Cup '94 (set 1)"
12 twrldc94a         "Tecmo World Cup '94 (set 2)"
12 suprslam          "Super Slams"
12 fromanc2          "Taisen Idol-Mahjong Final Romance 2 (Japan)"
12 fromancr          "Taisen Mahjong FinalRomance R (Japan)"
12 fromanc4          "Taisen Mahjong FinalRomance 4 (Japan)"
12 inufuku           "Quiz & Variety Sukusuku Inufuku (Japan)"
12 samuraia          "Samurai Aces (World)"
12 sngkace           "Sengoku Ace (Japan)"
12 gunbird           "Gunbird (World)"
12 gunbirdk          "Gunbird (Korea)"
12 gunbirdj          "Gunbird (Japan)"
12 btlkroad          "Battle K-Road"
12 s1945             "Strikers 1945 (World)"
12 s1945a            "Strikers 1945 (Japan / World)"
12 s1945j            "Strikers 1945 (Japan)"
12 s1945jn           "Strikers 1945 (Japan, unprotected)"
12 s1945bl           "Strikers 1945 (Hong Kong, bootleg)"
12 s1945k            "Strikers 1945 (Korea)"
12 tengai            "Tengai (World)"
12 tengaij           "Sengoku Blade: Sengoku Ace Episode II / Tengai"
12 s1945ii           "Strikers 1945 II"
12 soldivid          "Sol Divide - The Sword Of Darkness"
12 sbomber           "Space Bomber (ver. B)"
12 sbombera          "Space Bomber"
12 daraku            "Daraku Tenshi - The Fallen Angels"
12 gunbird2          "Gunbird 2"
12 s1945iii          "Strikers 1945 III (World) / Strikers 1999 (Japan)"
12 dragnblz          "Dragon Blaze"
12 tgm2              "Tetris the Absolute The Grand Master 2"
12 tgm2p             "Tetris the Absolute The Grand Master 2 Plus"
12 gnbarich          "Gunbarich"
12 mjgtaste          "Mahjong G-Taste"
12 hotgmck           "Taisen Hot Gimmick (Japan)"
12 hgkairak          "Taisen Hot Gimmick Kairakuten (Japan)"
12 hotgmck3          "Taisen Hot Gimmick 3 Digital Surfing (Japan)"
12 hotgm4ev          "Taisen Hot Gimmick 4 Ever (Japan)"
